Linguagem;Algoritmo;Tamanho_Entrada;TempoTotal(s)
python;mergesort;10;0.0000061988
python;mergesort;100;.00021858215332031250
python;mergesort;1000;.02444317340850830090
python;mergesort;10000;2.45032486915588378000
python;mergesort;100000;257.55084121227264800000
python;bubblesort;10;0.000019693
python;bubblesort;100;.00040647983551025390
python;bubblesort;1000;.04431552886962890620
python;bubblesort;10000;4.69798791408538830000
python;bubblesort;100000;492.39284613132476600000
c;mergesort;10;.00000180000000000000
c;mergesort;100;.00000910000000000000
c;mergesort;1000;.00010280000000000000
c;mergesort;10000;.00127200000000000000
c;mergesort;100000;.01540780000000000000
c;bubblesort;10;.00000140000000000000
c;bubblesort;100;.00002020000000000000
c;bubblesort;1000;.00195790000000000000
c;bubblesort;10000;.22622340000000000000
c;bubblesort;100000;23.41528210000000000000
