Linguagem,Algoritmo,Tamanho_Entrada,TempoTotal(s)
python,mergesort,10,
python,mergesort,100,.00233006477355957033
python,mergesort,1000,.243610620498657225
python,mergesort,10000,24.3364293575286864
python,mergesort,100000,2599.84211468696594
python,bubblesort,10,
python,bubblesort,100,.00409579277038574216
python,bubblesort,1000,.443409442901611325
python,bubblesort,10000,47.1393945217132570
python,bubblesort,100000,4933.77043747901922
c,mergesort,10,.000018
c,mergesort,100,.000093
c,mergesort,1000,.001022
c,mergesort,10000,.012730
c,mergesort,100000,.154186
c,bubblesort,10,.000012
c,bubblesort,100,.000203
c,bubblesort,1000,.015140
c,bubblesort,10000,1.643436
c,bubblesort,100000,226.681080
